,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1,17148865,yyy,,bʌ,,declarative,eng,-2147483648,1,1,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
2,17148882,yyy,,mʌ,,declarative,eng,-2147483648,1,2,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
3,17148897,yyy,,mʌm,,declarative,eng,-2147483648,1,3,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
4,17148914,yyy,,dæ,,declarative,eng,-2147483648,1,4,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
5,17148929,yyy,,tʰæ,,declarative,eng,-2147483648,1,5,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
6,17148937,yyy,,lɑ,,declarative,eng,-2147483648,1,6,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
7,17148958,yyy,,nɑ,,declarative,eng,-2147483648,1,7,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
8,17148971,yyy,,ʌdɑ,,declarative,eng,-2147483648,1,8,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
9,17148984,yyy,,ædæ,,declarative,eng,-2147483648,1,9,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
10,17148989,yyy,,bɛmbɑ,,declarative,eng,-2147483648,1,1,Inkelas,,CHI,E,Target_Child,E,7.295837696872626,male,,,,Eng-NA,21,332,23438,23438,42236
11,17149002,yyy,,hædæ,,declarative,eng,-2147483648,1,10,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
12,17149006,yyy,,dætdæ,,declarative,eng,-2147483648,1,2,Inkelas,,CHI,E,Target_Child,E,7.295837696872626,male,,,,Eng-NA,21,332,23438,23438,42236
13,17149018,yyy,,mummummum,,declarative,eng,-2147483648,1,3,Inkelas,,CHI,E,Target_Child,E,7.295837696872626,male,,,,Eng-NA,21,332,23438,23438,42236
14,17149021,yyy,,ki,,declarative,eng,-2147483648,1,11,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
15,17149034,yyy,,ɡɡæ,,declarative,eng,-2147483648,1,12,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
16,17149057,yyy,,dædæ,,declarative,eng,-2147483648,1,13,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
17,17149073,yyy,,ɡæɡæ,,declarative,eng,-2147483648,1,14,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
18,17149089,yyy,,æɡæɡæ,,declarative,eng,-2147483648,1,15,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
19,17149106,yyy,,umlæ,,declarative,eng,-2147483648,1,16,Inkelas,,CHI,E,Target_Child,E,6.262962278486211,male,,,,Eng-NA,21,332,23438,23438,42235
20,17149145,ball,,bɑ,bɑl,declarative,eng,-2147483648,1,1,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
21,17149160,ball,,bwɑ,bɑl,declarative,eng,-2147483648,1,2,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
22,17149174,ball,,bɣɑ,bɑl,declarative,eng,-2147483648,1,3,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
23,17149195,ball,,bæ,bɑl,declarative,eng,-2147483648,1,4,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
24,17149204,there,,dʲæː,ðɛɹ,imperative_emphatic,eng,-2147483648,1,1,Inkelas,,CHI,E,Target_Child,E,10.295899299780283,male,,,,Eng-NA,21,332,23438,23438,42238
25,17149209,ball,,bwæ,bɑl,declarative,eng,-2147483648,1,5,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
26,17149220,ball,,bɣæ,bɑl,declarative,eng,-2147483648,1,6,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
27,17149221,there,,dæː,ðɛɹ,imperative_emphatic,eng,-2147483648,1,2,Inkelas,,CHI,E,Target_Child,E,10.295899299780283,male,,,,Eng-NA,21,332,23438,23438,42238
28,17149232,yyy,,buæ,,declarative,eng,-2147483648,1,3,Inkelas,,CHI,E,Target_Child,E,10.295899299780283,male,,,,Eng-NA,21,332,23438,23438,42238
29,17149237,flower,,blɑ,flaʊəɹ,declarative,eng,-2147483648,1,7,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
30,17149246,yyy,,bɸæ,,declarative,eng,-2147483648,1,4,Inkelas,,CHI,E,Target_Child,E,10.295899299780283,male,,,,Eng-NA,21,332,23438,23438,42238
31,17149249,mama,,mɑmɑ,mɑmə,declarative,eng,-2147483648,1,8,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
32,17149257,hi,,hæːɪ,haɪ,declarative,eng,-2147483648,1,1,Inkelas,,CHI,E,Target_Child,E,11.164500297747386,male,,,,Eng-NA,21,332,23438,23438,42239
33,17149261,mommy,,mæmæ,mɑmiː,declarative,eng,-2147483648,1,5,Inkelas,,CHI,E,Target_Child,E,10.295899299780283,male,,,,Eng-NA,21,332,23438,23438,42238
34,17149264,catch,,kæt̚,kæʧ,imperative_emphatic,eng,-2147483648,1,9,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
35,17149274,catch,,kæʔ,kæʧ,imperative_emphatic,eng,-2147483648,1,10,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
36,17149277,hi,,hæː,haɪ,declarative,eng,-2147483648,1,2,Inkelas,,CHI,E,Target_Child,E,11.164500297747386,male,,,,Eng-NA,21,332,23438,23438,42239
37,17149288,catch,,kæ,kæʧ,imperative_emphatic,eng,-2147483648,1,11,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
38,17149297,yyy,,dæt,,declarative,eng,-2147483648,1,12,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
39,17149308,hi,,hæː,haɪ,declarative,eng,-2147483648,1,13,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
40,17149319,hi,,hæm,haɪ,declarative,eng,-2147483648,1,14,Inkelas,,CHI,E,Target_Child,E,9.263023881393869,male,,,,Eng-NA,21,332,23438,23438,42237
