,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1,19478095,ei,,ʔa͡ɪ,ʔaɪ,declarative,deu,-2147483648,1,1,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,0.0,1.03,s,German,32,392,25396,25396,49953
2,19478105,ei,,a͡ɪ,ʔaɪ,declarative,deu,-2147483648,1,2,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,1.03,2.19,s,German,32,392,25396,25396,49953
3,19478117,ei ei,,ʔa͡ɪ ʔa͡ɪ,ʔaɪ ʔaɪ,declarative,deu,-2147483648,2,3,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,2.19,5.1,s,German,32,392,25396,25396,49953
4,19478132,Baby,,beːbʰi,beːbiː,declarative,deu,-2147483648,1,1,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,0.0,1.14,s,German,32,392,25396,25396,49954
5,19478133,ei ei,,ʔa͡ɪ ʔa͡ɪ,ʔaɪ ʔaɪ,declarative,deu,-2147483648,2,4,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,5.1,8.39,s,German,32,392,25396,25396,49953
6,19478150,Auto,,ʔaːti,ʔaʊtoː,declarative,deu,-2147483648,1,5,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,8.39,11.35,s,German,32,392,25396,25396,49953
7,19478162,ei,,ʔa͡ɪ,ʔaɪ,declarative,deu,-2147483648,1,6,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,11.35,13.23,s,German,32,392,25396,25396,49953
8,19478165,Baby,,bɪpiː,beːbiː,declarative,deu,-2147483648,1,2,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,1.14,2.29,s,German,32,392,25396,25396,49954
9,19478177,eija xxx,,ʔɛja (.) *,ʔaɪjaː (.) *,declarative,deu,-2147483648,2,7,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,13.23,16.56,s,German,32,392,25396,25396,49953
10,19478183,Baby,,bebɪç,beːbiː,declarative,deu,-2147483648,1,3,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,2.29,3.69,s,German,32,392,25396,25396,49954
11,19478193,xxx Bär,,* (.) biːja,* (.) bɛːʀ,declarative,deu,-2147483648,2,8,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,16.56,21.18,s,German,32,392,25396,25396,49953
12,19478201,Fisch,,βɪç,fɪʃ,declarative,deu,-2147483648,1,4,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,3.69,5.11,s,German,32,392,25396,25396,49954
13,19478210,Papa,,papa,papa,declarative,deu,-2147483648,1,9,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,21.18,23.66,s,German,32,392,25396,25396,49953
14,19478215,Fisch,,βʏç,fɪʃ,declarative,deu,-2147483648,1,5,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,5.11,6.25,s,German,32,392,25396,25396,49954
15,19478225,Wauwau,,βaβa͡ɪ,vaʊvaʊ,declarative,deu,-2147483648,1,6,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,6.25,7.63,s,German,32,392,25396,25396,49954
16,19478230,Papa,,papma,papa,declarative,deu,-2147483648,1,10,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,23.66,27.21,s,German,32,392,25396,25396,49953
17,19478244,Wauwau,,βaβa,vaʊvaʊ,declarative,deu,-2147483648,1,7,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,7.63,9.37,s,German,32,392,25396,25396,49954
18,19478247,Mama,,βama,mama,declarative,deu,-2147483648,1,11,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,27.21,28.7,s,German,32,392,25396,25396,49953
19,19478260,Mama,,m̩ːa,mama,declarative,deu,-2147483648,1,12,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,28.7,31.14,s,German,32,392,25396,25396,49953
20,19478269,Babies,,beːbiç,beːbiːs,declarative,deu,-2147483648,1,8,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,9.37,10.66,s,German,32,392,25396,25396,49954
21,19478273,Mama,,βɔpa,mama,declarative,deu,-2147483648,1,13,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,31.14,32.24,s,German,32,392,25396,25396,49953
22,19478285,Mama,,paba,mama,declarative,deu,-2147483648,1,14,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,32.24,33.43,s,German,32,392,25396,25396,49953
23,19478289,Mama,,mama,mama,declarative,deu,-2147483648,1,9,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,10.66,12.18,s,German,32,392,25396,25396,49954
24,19478301,Mama,,baba,mama,declarative,deu,-2147483648,1,15,Grimm,,CHI,Eleonora,Target_Child,Eleonora,12.230230600217663,female,33.43,34.73,s,German,32,392,25396,25396,49953
25,19478304,Papa,,baba,papa,declarative,deu,-2147483648,1,10,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,12.18,13.31,s,German,32,392,25396,25396,49954
26,19478315,Teddy,,titi,tɛdi,declarative,deu,-2147483648,1,11,Grimm,,CHI,Eleonora,Target_Child,Eleonora,13.361670670855665,female,13.31,14.54,s,German,32,392,25396,25396,49954
