,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id
1,13150887,hallo,,,,declarative,deu,-2147483648,1,1,Manuela,,MOT,,Mother,,6.427236698905522,male,5.0,6.0,s,German,16,257,18743,18742,30041
2,13150888,,,,,declarative,deu,-2147483648,0,2,Manuela,,CHI,,Target_Child,,6.427236698905522,male,6.0,7.0,s,German,16,257,18742,18742,30041
3,13150889,eh,,,,declarative,deu,-2147483648,1,3,Manuela,,CHI,,Target_Child,,6.427236698905522,male,7.0,8.0,s,German,16,257,18742,18742,30041
4,13150890,hallo,,,,declarative,deu,-2147483648,1,4,Manuela,,MOT,,Mother,,6.427236698905522,male,7.0,8.0,s,German,16,257,18743,18742,30041
5,13150891,eh,,,,declarative,deu,-2147483648,1,5,Manuela,,CHI,,Target_Child,,6.427236698905522,male,8.0,9.0,s,German,16,257,18742,18742,30041
6,13150892,,,,,declarative,deu,-2147483648,0,6,Manuela,,CHI,,Target_Child,,6.427236698905522,male,9.0,10.0,s,German,16,257,18742,18742,30041
7,13150893,ja,,,,declarative,deu,-2147483648,1,7,Manuela,,MOT,,Mother,,6.427236698905522,male,10.0,11.0,s,German,16,257,18743,18742,30041
8,13150894,ah,,,,declarative,deu,-2147483648,1,8,Manuela,,CHI,,Target_Child,,6.427236698905522,male,11.0,13.0,s,German,16,257,18742,18742,30041
9,13150895,,,,,declarative,deu,-2147483648,0,9,Manuela,,CHI,,Target_Child,,6.427236698905522,male,13.0,15.0,s,German,16,257,18742,18742,30041
10,13150896,,,,,declarative,deu,-2147483648,0,10,Manuela,,MOT,,Mother,,6.427236698905522,male,15.0,17.0,s,German,16,257,18743,18742,30041
11,13150897,hm,,,,declarative,deu,-2147483648,1,11,Manuela,,MOT,,Mother,,6.427236698905522,male,17.0,18.0,s,German,16,257,18743,18742,30041
